지번주소_구,지번주소_동,구면적,2024년06월_1인세대,2024년06월_2인세대,2024년06월_3인세대,2024년06월_4인세대,I 숙박 및 음식점업,Q 보건업 및 사회복지 서비스업,G 도매 및 소매업,20대,30대,40대,50대,60대,총인구 (명),인구 비율,인구 밀도,녹지개소,녹지면적
북구,덕천동,39.37,44262,34993,23554,16072,3293,757,5264,29195,32273,36380,48513,51831,275580,8.36,7000.0,16,37722
해운대구,우동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,우동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,우동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,좌동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,중동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,우동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,석대동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,석대동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,반송동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,반송동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,우동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,재송동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,송정동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,좌동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
해운대구,재송동,51.54,61235,45613,32643,23518,5561,1203,11597,39374,41065,58433,67198,62254,377199,11.44,7319.0,31,25913
강서구,대저1동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저1동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저1동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저2동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,강동동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저1동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저2동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저1동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저2동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
강서구,대저1동,181.41,23718,13924,11578,10266,2720,498,8031,10995,22675,28986,17469,17727,143734,4.36,792.0,14,45251
기장군,고촌리,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
기장군,안평리,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
기장군,기장읍,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
기장군,기장읍,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
기장군,장안읍,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
기장군,삼성리,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
기장군,장안읍,218.44,30272,20190,14240,11518,3184,593,5043,16110,21465,32906,27107,23847,174501,5.29,799.0,26,50140
